device_id,name,name_by_user,name_original,manufacturer,model,sw_version,hw_version,via_device_id,identifiers,config_entries,disabled_by
61113d6bd68e466c113ddf87e05fa051,basement zone 3 better thermostat common and utility,,basement zone 3 better thermostat common and utility,Better Thermostat,Generic Component Switch,1.7.0,,,"[['better_thermostat', '01KBKG6BDC4G8XCE3KFAVGTGFB']]",['01KBKG6BDC4G8XCE3KFAVGTGFB'],config_entry
e93e8210a861375df1192e83128886a8,2nd floor office temperature,,2nd floor office temperature,Hubitat,Generic Zigbee Temperature/Humidity Sensor,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:81']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
08cd87c484f2052abdd4552cb45cf619,Dining temp,,Dining temp,Hubitat,Generic Zigbee Temperature/Humidity Sensor,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:83']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
d717a287cc6069b5009aba6b6914f3ea,High country water cutoff,,High country water cutoff,Hubitat,Zooz Zen51 Dry Contact Relay,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:82']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
14e6affb54ffb15811c21d4706252580,Upper guest temp,,Upper guest temp,Hubitat,Generic Zigbee Temperature/Humidity Sensor,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:85']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
8854538ec3ace74be05b4d3219ebf3f4,new garage motion sensor,,new garage motion sensor,Hubitat,Zooz Q Sensor ZSE11,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:87']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
5b22dcabf9cf1c9a5220e540a66992a3,Basement bath and utility,,Basement bath and utility,Hubitat,Generic Zigbee Temperature/Humidity Sensor,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:88']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
c14dd7e6a1bc7ecad8065f822bf48295,InfluxDB,,InfluxDB,Home Assistant Community Add-ons,Home Assistant Add-on,5.0.2,,,"[['hassio', 'a0d7b954_influxdb']]",['01K93B37S72HB76ECN0X0TY4YM'],
5af4e814095ce5ba05c6899380f81471,Grafana,,Grafana,Home Assistant Community Add-ons,Home Assistant Add-on,12.1.0,,,"[['hassio', 'a0d7b954_grafana']]",['01K93B37S72HB76ECN0X0TY4YM'],
b3f1f28af6cd58a013a926bf4f470c25,Madmen Temp,,Madmen Temp,Hubitat,Generic Zigbee Temperature/Humidity Sensor,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:84']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
437ebd3008aa0621451c8955b3e0f02a,Boiler out,,Boiler out,Hubitat,Generic Zigbee Temperature/Humidity Sensor,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:89']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
0a1762be8b4e167dfd4458a895c9a669,Boiler return,,Boiler return,Hubitat,Generic Zigbee Temperature/Humidity Sensor,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:90']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
62910c15de523039fb2e863e55f85dd5,Smart Bridge 2,,Smart Bridge 2,"Lutron Electronics Co., Inc",L-BDG2-WH (SmartBridge),,,62910c15de523039fb2e863e55f85dd5,"[['lutron_caseta', 138445383]]",['01KFVC4TS5HPEQTB4KBM8G40ET'],
c26c130f8e4ebaf16249fd04a80f9c2c,First Floor Bathroom Pico,,First Floor Bathroom Pico,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),,,62910c15de523039fb2e863e55f85dd5,"[['lutron_caseta', 141808672]]",['01KFVC4TS5HPEQTB4KBM8G40ET'],
405a6b886990d57710fb64161c15597c,First Floor Bathroom Shower Lights,,First Floor Bathroom Shower Lights,"Lutron Electronics Co., Inc",DVRF-6L (DivaSmartDimmer),,,62910c15de523039fb2e863e55f85dd5,"[['lutron_caseta', 118617802]]",['01KFVC4TS5HPEQTB4KBM8G40ET'],
8e30ce567c76634e9a664163d68920db,richardpiasentin@gmail.com,,richardpiasentin@gmail.com,Google,Google Drive,,,,"[['google_drive', 'richardpiasentin@gmail.com']]",['01KEZ8E2K83PN0KNH97WY3QQJZ'],
